paper,year,month,title,author
2096,1986,December,"Amnesty, Enforcement and Tax Policy","['Herman B Leonard', 'Richard J Zeckhauser']"
2097,1986,December,Assessing Dynamic Efficiency: Theory and Evidence,"['Andrew B Abel', 'Lawrence H Summers', 'N Gregory Mankiw', 'Richard J Zeckhauser']"
2098,1986,December,Real Estate and the Tax Reform Act of 1986,"['David C Ling', 'James R Follain', 'Patric H Hendershott']"
2099,1986,December,The Record and Improvability of Economic Forecasting,['Victor Zarnowitz']
2100,1986,December,The Dividend-Price Ratio and Expectations of Future Dividends and Discount Factors,"['John Y Campbell', 'Robert J Shiller']"
2101,1986,December,Did Henry Ford Pay Efficiency Wages?,"['Daniel M G Raff', 'Lawrence H Summers']"
2102,1986,December,A Standard Monetary Model and the Variability of the Deutschemark-Dollar Exchange Rate,['Kenneth D West']
2103,1986,December,Tax Reform and Adjustment Costs: The Impact on Investment and Market Value,['Alan J Auerbach']
2104,1986,December,Married Women's Retirement Behavior,"['Olivia S Mitchell', 'Silvana Pozzebon']"
2105,1986,December,Interest Rate and Exchange Rate Determination,['Ray C* Fair']
2106,1986,December,International Evidence on the Demand for Money,['Ray C* Fair']
2107,1986,December,Regional Effects of Taxes in Canada: An Applied General Equilibrium Approach,"['John Whalley', 'Rich Jones']"
2108,1986,December,Unions and Job Security in the Public Sector,['Steven G Allen']
2109,1986,December,Real Business Cycles and the Lucas Paradigm,"['Richard T Froyen', 'Roger N Waud']"
2110,1986,December,"Terms of Trade, Exchange Rates and Labor Markets Adjustment in Developing Countries",['Sebastian Edwards']
2111,1986,December,The Other Side of the Trade Imbalance: What Will Japan Do?,"['John A Rizzo', 'Ryuzo Sato']"
2112,1986,December,Sources of Output and Price Variability in a Macroeconometric Model,['Ray C* Fair']
2113,1986,December,A Guide to Target Zones,"['Jacob A Frenkel', 'Morris Goldstein']"
2114,1986,December,A Note on Optimal Public Enforcement with Settlements and Litigation Costs,"['A Mitchell Polinsky', 'Daniel L Rubinfeld']"
2115,1986,December,Market Structure and Cyclical Fluctuations in U.S. Manufacturing,"['Bruce C Petersen', 'Ian Domowitz', 'R Glenn Hubbard']"
2116,1987,January,Testing for Real Effects of Monetary Policy Regime Shifts,['Carl E Walsh']
2117,1987,January,Social Security and the American Family,"['Douglas J Puffert', 'Michael J Boskin']"
2118,1987,January,Why Have Corporate Tax Revenues Declined?,"['Alan J Auerbach', 'James M Poterba']"
2119,1987,January,Tax Evasion and Capital Gains Taxation,['James M Poterba']
2120,1987,January,Household Behavior and the Tax Reform Act of 1986,"['James M Poterba', 'Jerry A Hausman']"
2121,1987,January,"Labor Supply Preferences, Hours Constraints, and Hours-Wage Tradeoffs","['Christina H Paxson', 'Joseph G Altonji']"
2122,1987,January,How Far Has the Dollar Fallen?,"['Martin S Feldstein', 'Philippe Bacchetta']"
2123,1987,January,Alternative Modes of Deficit Financing and Endogenous Monetary and Fiscal Policy 1923-1982,['Stephen J Turnovsky']
2124,1987,January,The Adjustment of Expectations to a Change in Regime: A Study of the Founding of the Federal Reserve,"['David N Weil', 'Jeffrey A Miron', 'N Gregory Mankiw']"
2125,1987,January,"The Response of Interest Rates to the Federal Reserve's Weekly Money Announcements: The ""Puzzle"" of Anticipated Money","['Angelo Melino', 'James E Pesando', 'Richard Deaves']"
2126,1987,January,The Anatomy of Financial Crises,"['Barry J Eichengreen', 'Richard Portes']"
2127,1987,January,Neoclassical and Sociological Perspectives on Segmented Labor Markets,"['Kevin Lang', 'William T Dickens']"
2128,1987,January,"Tax Policy, Asset Prices, and Growth: A General Equilibrium Analysis","['Lawrence H Goulder', 'Lawrence H Summers']"
2129,1987,January,Ultimate Sources of Aggregate Variability,['Robert J Shiller']
2130,1987,January,"Fiscal Deficits, Exchange Rate Crises and Inflation",['Sweder van Wijnbergen']
2131,1987,January,New Estimates of State and Local Government Tangible Capital and Net Investment,"['Alan M Huber', 'Marc S Robinson', 'Michael J Boskin']"
2132,1987,January,Should Tax Reform Level the Playing Field?,['Lawrence H Summers']
2133,1987,January,"Monetary Growth, Inflation, and Economic Activity in a Dynamic Macro Model",['Stephen J Turnovsky']
2134,1987,January,Is Consumption Too Smooth?,"['Angus S Deaton', 'John Y Campbell']"
2135,1987,January,Why Do Fixed-Effects Models Perform So Poorly? The Case of Academic Salaries,['Daniel S Hamermesh']
2136,1987,January,Optimal Monetary Growth,['Andrew B Abel']
2137,1987,January,Collective Bargaining and the Division of the Value of the Enterprise,['John M Abowd']
2138,1987,January,Our LDC Debts,['Rudiger Dornbusch']
2139,1987,January,"Divergent Expectations as a Cause of Disagreement in Bargaining: Evidence from a Comparison of Arbitration Schemes.""","['Henry S Farber', 'Max H Bazerman']"
2140,1987,February,The Real Effects of Foreign Inflation in the Presence of Currency Substitution,['Charles Engel']
2141,1987,February,Saving and Investment in an Open Economy with Non-Traded Goods,"['Charles Engel', 'Kenneth M Kletzer']"
2142,1987,February,Brazil's Tropical Plan,"['Eliana A Cardoso', 'Rudiger Dornbusch']"
2143,1987,February,Money and the Consumption Goods Market in China,"['Anita Santorum', 'Richard Portes']"
2144,1987,February,Recent Evidence on Budget Deficits and National Savings,"['James M Poterba', 'Lawrence H Summers']"
2145,1987,February,Compensation and Firm Performance,"['George T Milkovich', 'Ronald G Ehrenberg']"
2146,1987,February,Supply Shocks in Macroeconomics,['Matthew D Shapiro']
2147,1987,February,Are Cyclical Fluctuations in Productivity Due More to Supply Shocks or Demand Shocks?,['Matthew D Shapiro']
2148,1987,February,Incentive Effects of Price Rises and Payment-System Changes on Chinese Agricultural Productivity Growth,"['John McMillan', 'John Whalley', 'Zhu Li Jing']"
2149,1987,February,The Life-Cycle Permanent-Income Model and Consumer Durables,"['Alan S Blinder', 'Avner Bar-Ilan']"
2150,1987,February,Optimal Choice of Monetary Policy Instruments in a Macroeconometric Model,['Ray C* Fair']
2151,1987,February,The Dollar and Real Interest Rates,"['John Y Campbell', 'Richard H Clarida']"
2152,1987,February,Monopolistic Competition and Labor Market Adjustment in the Open Economy,['Joshua Aizenman']
2153,1987,February,"Inflation Stabilization with Incomes Policy Support: A Review of the Experience in Argentina, Brazil and Israel","['Mario Henrique Simonsen', 'Rudiger Dornbusch']"
2154,1987,February,Specification of the Joy of Giving: Insights from Altruism,"['Andrew B Abel', 'Mark J Warshawsky']"
2155,1987,February,"Dynamic Factor Models of Consumption, Hours, and Income","['Aloysius Siow', 'Ana Paula Martins', 'Joseph G Altonji']"
2156,1987,February,The Development of Keynesian Macroeconomics,['Bennett T McCallum']
2157,1987,February,Money: Theoretical Analysis of the Demand for Money,"['Bennett T McCallum', 'Marvin S Goodfriend']"
2158,1987,February,"Finite Lifetimes, Borrowing Constraints, and Short-Run Fiscal Policy","['Kenneth L Judd', 'R Glenn Hubbard']"
2159,1987,February,Infant-Industry Protection Reconsidered: The Case of Informational Barriers to Entry,"['Gene M Grossman', 'Henrik Horn']"
2160,1987,February,"Keynesian, New Keynesian, and New Classical Economics","['Bruce C Greenwald', 'Joseph E Stiglitz']"
2161,1987,February,Suing Solely to Extract a Settlement Offer,['Lucian Arye Bebchuk']
2162,1987,February,The Liberalization of the Current Capital Accounts and the Real Exchange Rate,['Sebastian Edwards']
2163,1987,February,The International Monetary System: Should it be Reconsidered?,['Jacob A Frenkel']
2164,1987,February,Macro-Economic Equilibrium and Credit Rationing,"['Andrew M Weiss', 'Joseph E Stiglitz']"
2165,1987,February,Project Appraisal and Foreign Exchange Constraints: A Simple Exposition,"['Charles R Blitzer', 'Joseph E Stiglitz', 'Partha Dasgupta']"
2166,1987,February,Central Policies for Local Debt: The Case of Teacher Pensions,"['David J Albright', 'Robert P Inman']"
2167,1987,February,Validating Hiring Criteria,"['Andrew M Weiss', 'Henry Landau']"
2168,1987,February,Stock Market Prices Do Not Follow Random Walks: Evidence From a Simple Specification Test,"['A Craig MacKinlay', 'Andrew W Lo']"
2169,1987,February,Permanent and Transitory Components in Macroeconomic Fluctuations,"['John Y Campbell', 'N Gregory Mankiw']"
2170,1987,February,Alternative Compensation Arrangements and Productive Efficiency in Partnerships: Evidence from Medical Group Practice,"['Mark V Pauly', 'Martin S Gaynor']"
2171,1987,February,Are Prices Too Sticky?,"['David H Romer', 'Laurence M Ball']"
2172,1987,March,Public Debt Guarantees and Private Capital Flight,['Jonathan Eaton']
2173,1987,February,Measuring the Effect of Subsidized Training Programs on Movements In and Out of Employment,"['Daniel Sullivan', 'David Card']"
2174,1987,March,Optimal Liability when the Injurer's Information about the Victim's Loss is Imperfect,['A Mitchell Polinsky']
2175,1987,March,"Tariffs, Terms of Trade, and the Real Exchange Rate in an Intertemporal Optimizing Model of the Current Account",['Sebastian Edwards']
2176,1987,March,"Carrots and Sticks: Pay, Supervision and Turnover",['Jonathan S Leonard']
2177,1987,March,"Currency Incontrovertibility, Trade Taxes and Smuggling",['Jorge Braga de Macedo']
2178,1987,March,The Theory and the Facts of How Markets Clear: Is Industrial Organization Valuable for Understanding Macroeconomics?,['Dennis W Carlton']
2179,1987,March,Economic Liberalization and the Equilibrium Real Exchange rate in Developing Countries,['Sebastian Edwards']
2180,1987,March,The Revenues-Expenditures Nexus: Evidence from Local Government Data,"['Douglas Holtz-Eakin', 'Harvey S Rosen', 'Whitney K Newey']"
2181,1987,March,Estimating Models with Intertemporal Substitution Using Aggregate Time Series Data,"['Lars Peter Hansen', 'Martin S Eichenbaum']"
2182,1987,March,High Tech Trade Policy,['Kala Krishna']
2183,1987,March,Can People Compute? An Experimental Test of the Life Cycle Consumption Model,"['Laurence J Kotlikoff', 'Stephen Johnston', 'William F Samuelson']"
2184,1987,March,Factors Affecting the Output and Quit Propensities of Production Workers,"['Andrew M Weiss', 'Richard H Spady', 'Roger Klein']"
2185,1987,March,Hiring Procedures in the Firm: Their Economic Determinants and Outcomes,['Harry J Holzer']
2186,1987,March,New Directions in the Relationship Between Public and Private Debt,['Benjamin M Friedman']
2187,1987,March,"Existing Estimates, New Estimates, and New Interpretations of World War I and its Aftermath",['Christina D Romer']
2188,1987,March,"Money, Imperfect Information and Economic Fluctuations","['Bruce C Greenwald', 'Joseph E Stiglitz']"
2189,1987,March,Pareto Efficient and Optimal Taxation and the New New Welfare Economics,['Joseph E Stiglitz']
2190,1987,March,International Competition in the Products of U.S. Basic Industries,['Barry J Eichengreen']
2191,1987,March,The Effect of Takeover Activity on Corporate Research and Development,['Bronwyn H Hall']
2192,1987,March,The Effects of Taxation on the Merger Decision,"['Alan J Auerbach', 'David Reishus']"
2193,1987,March,Hegemonic Stability Theories of the International Monetary System,['Barry J Eichengreen']
2194,1987,March,Incentives and Worker Behavior: Some Evidence,['Andrew M Weiss']
2195,1987,March,The Importance of Economic Policy in Development: Contrasts Between Korea and Turkey,['Anne O Krueger']
2196,1987,March,"Privatization, Information and Incentives","['David E M Sappington', 'Joseph E Stiglitz']"
2197,1987,March,City Taxes and Property Tax Bases,"['Helen F Ladd', 'Katharine L Bradbury']"
2198,1987,March,The Gold-Exchange Standard and the Great Depression,['Barry J Eichengreen']
2199,1987,March,Why Was there Mandatory Retirement? or the Impossibility of Efficient Bonding Contracts,['Kevin Lang']
2200,1987,March,Should Social Security Benefits Increase with Age?,['Martin S Feldstein']
2201,1987,April,Imperfect Information and Staggered Price Setting,"['Laurence M Ball', 'Stephen G Cecchetti']"
2202,1987,April,Successful Adjustment in a Multi-Sectoral Economy,['Joshua Aizenman']
2203,1987,April,"Peso Problems, Bubbles, and Risk in the Empirical Assessment of Exchange-Rate Behavior",['Maurice Obstfeld']
2204,1987,April,Country Risk and the Organization of International Capital Transfer,"['Jonathan Eaton', 'Mark Gersovitz']"
2205,1987,April,Firm Size and R&D Intensity: A Re-Examination,"['David C Mowery', 'Richard C Levin', 'Wesley M Cohen']"
2206,1987,April,"International Adjustment Under the Classical Gold Standard: Evidence for the U.S. and Britain, 1879-1914","['Charles W Calormiris', 'R Glenn Hubbard']"
2207,1987,April,Economic Rents Derived from Hospital Privileges in the Market for Podiatric Services,"['David S Salkever', 'Donald M Steinwachs', 'Jonathan P Weiner', 'Richard G Frank']"
2208,1987,April,U.S. and Foreign Competition in the Developing Countries of the Asian Pacific Rim,['Robert E Baldwin']
2209,1987,April,The Permanent Income Hypothesis Revisited,"['David A Marshall', 'Lawrence J Christiano', 'Martin S Eichenbaum']"
2210,1987,April,International Capital Flows and Domestic Economic Policies,['Jeffrey A Frankel']
2211,1987,April,Negotiator Behavior Under Arbitration,"['Christopher L Cavanagh', 'David E Bloom']"
2212,1987,April,Measuring Market Power in U.S. Industry,['Matthew D Shapiro']
2213,1987,April,Dynamic Optimization in Two-Party Models,"['Jeffrey D Sachs', 'Nouriel Roubini', 'Warwick J McKibbin']"
2214,1987,April,"Anticipated Protectionist Policies, Real Exchange Rates and the Current Account","['Jonathan D Ostry', 'Sebastian Edwards']"
2215,1987,April,Capital Gains Taxes Under the Tax Reform Act of 1986: Revenue Estimates Under Various Assumptions,['Lawrence B Lindsey']
2216,1987,April,Short-term and Long-Term Expectations of the Yen/Dollar Exchange Rate: Evidence from Survey Data,"['Jeffrey A Frankel', 'Kenneth A Froot']"
2217,1987,April,Have IRAs Increased U.S. Saving?: Evidence from Consumer Expenditure Surveys,"['David A Wise', 'Steven F Venti']"
2218,1987,April,The United States and Foreign Competition in Latin America,['Sebastian Edwards']
2219,1987,April,Discounting Rules for Risky Assets,"['Richard S Ruback', 'Stewart C Myers']"
2220,1987,April,Smuggler's Blues at the Central Bank: Lessons from Sudan,"['Jorge Braga de Macedo', 'William H Branson']"
2221,1987,April,"Relative Wage Variability in the United States, 1860-1983",['Steven G Allen']
2222,1987,April,The Effect of Economic Events on Votes for President: 1984 Update,['Ray C* Fair']
2223,1987,April,Household Saving and Permanent Income in Canada and the United Kingdom,"['John Y Campbell', 'Richard H Clarida']"
2224,1987,April,Tax Deductibility and Municipal Budget Structure,"['Douglas Holtz-Eakin', 'Harvey S Rosen']"
2225,1987,April,The Financial Impact of Social Security by Cohort Under Alternative Financing Assumptions,"['Douglas J Puffert', 'Michael J Boskin']"
2226,1987,April,Trade and Exchange Rate Policies in Growth-Oriented Adjustment Programs,['Jeffrey D Sachs']
2227,1987,April,The Postwar Evolution of Computer Prices,['Robert J Gordon']
2228,1987,April,Interpreting Evidence on Money-Income Causality,"['James H Stock', 'Mark W Watson']"
2229,1987,April,Stochastic Trends and Economic Fluctuations,"['Charles I Plosser', 'James H Stock', 'Mark W Watson', 'Robert G King']"
2230,1987,May,Real-Financial Linkages Among Open Economies,"['J David Richardson', 'Sven W Arndt']"
2231,1987,May,The Marriage Tax is Down But Not Out,['Harvey S Rosen']
2232,1987,May,Loan Commitments and Monetary Policy,"['Arie Melnik', 'George Sofianos', 'Paul Wachtel']"
2233,1987,May,Econometric Modeling as Information Aggregation,"['Ray C* Fair', 'Robert J Shiller']"
2234,1987,May,The Social Security Cost of Smoking,"['Jeffrey O Sundberg', 'John B Shoven', 'John P Bunker']"
2235,1987,May,International Competition in Services,['Rachel McCulloch']
2236,1987,May,Country Risk and Contingencies,['Joshua Aizenman']
2237,1987,May,Intergenerational Transfers and Savings,['Laurence J Kotlikoff']
2238,1987,May,Constraints on the Choice of Work Hours: Agency vs. Specific-Capital,"['Kevin Lang', 'Shulamit Kahn']"
2239,1987,May,"A Generic Model of Monetary Policy, Inflation, and Reputation",['Herschel I Grossman']
2240,1987,May,Changing Patterns of International Investment In and By the United States,['Robert E Lipsey']
2241,1987,May,Institutional Aspects of High Unemployment in the Federal Republic of Germany,"['Jeffrey D Sachs', 'Michael C Burda']"
2242,1987,May,"Accounting for Racial Differences in School Attendance in the American South, 1900: The Role of Separate-But-Equal",['Robert A Margo']
2243,1987,May,Share Repurchases and Acquisitions: An Analysis of Which Firms Participate,"['John B Shoven', 'Laurie Blair Simon']"
2244,1987,May,International Macroeconomic Policy Coordination,['Stanley Fischer']
2245,1987,May,"Home Ownership and Real House Prices: Sources of Change, 1965-85",['Patric H Hendershott']
2246,1987,May,Implicit Taxation in Lottery Finance,"['Charles T Clotfelter', 'Phillip J Cook']"
2247,1987,May,"Intertemporal Constraints, Shadow Prices, and Financial Asset Values",['Robert S Chirinko']
2248,1987,May,Self-Selection and the Earnings of Immigrants,['George J Borjas']
2249,1987,May,Are Exchange Rates Excessively Variable?,"['Jeffrey A Frankel', 'Richard Meese']"
2250,1987,May,Capital Controls and the Timing of Exchange Regime Collapse,"['Daekuen Park', 'Jeffrey D Sachs']"
2251,1987,May,"Efficient ""Myopic"" Asset Pricing in General Equilibrium: A Potential Pitfall in Excess Volatility Tests",['Willem H Buiter']
2252,1987,May,The Insensitivity of Consumption to News About Income,['Kenneth D West']
2253,1987,May,"Implicit Estimates of Natural, Trend, and Cyclical Components of Real GNP",['Charles R Nelson']
2254,1987,May,Unions and Efficiency in Private Sector Construction: Further Evidence,['Steven G Allen']
2255,1987,May,The Stochastic Properties of Velocity: A New Interpretation,"['Lars Jonung', 'Michael D Bordo']"
2256,1987,May,Future Social Security Financing Alternatives and National Saving,['Michael J Boskin']
2257,1987,May,Social Security Benefits: An Empirical Study of Expectations and Realizations,['B Douglas Bernheim']
2258,1987,May,Testing Ricardian Neutrality with an Intertemporal Stochastic Model,"['Assaf Razin', 'Leonardo Leiderman']"
2259,1987,May,"Nominally Sovereign Debt, Risk Shifting, and Reputation","['Herschel I Grossman', 'John B Van Huyck']"
2260,1987,May,Who Should Learn What From the Failure and Delayed Bailout of the ODGF?,['Edward J Kane']
2261,1987,May,"Tariffs, Employment and the Current Account: Real Wage Resistance and the Macroeconomics of Protectionism",['Sweder van Wijnbergen']
2262,1987,May,"Excess Capacity, Monopolistic Competition, and International Transmission of Monetary Disturbances","['Lars E O Svensson', 'Sweder van Wijnbergen']"
2263,1987,May,Longitudinal Analysis of Strike Activity,['David Card']
2264,1987,May,Investment Under Uncertainty: Theory and Tests with Industry Data,['Robert E Hall']
2265,1987,May,Consumption,['Robert E Hall']
2266,1987,May,Pensions and Firm Performance,"['Robert L Clark', 'Steven G Allen']"
2267,1987,May,The Decline of Unionization in the United States: What can Be Learned from Recent Experience?,['Henry S Farber']
2268,1987,May,Stabilization with Exchange Rate Management under Uncertainty,"['Allan Drazen', 'Elhanan Helpman']"
2269,1987,May,Regulation and the Provision of Quality to Heterogenous Consumers: The Case of Prospective Pricing of Medical Services,"['Paul J Gertler', 'Robin Allen']"
2270,1987,May,The Optimal Collection of Seigniorage: Theory and Evidence,['N Gregory Mankiw']
2271,1987,June,Inter-Industry Wage Differences and Theories of Wage Determination,"['Lawrence F Katz', 'William T Dickens']"
2272,1987,June,Housing Finance Imperfections and Private Saving: A Comparative Simulation Analysis of the U.S. and Japan,"['Fumio Hayashi', 'Joel B Slemrod', 'Takatoshi Ito']"
2273,1987,June,The Impact of Firm Acquisitions on Labor,"['Charles C Brown', 'James L Medoff']"
2274,1987,June,Is the U.S. a Spendthrift Nation?,"['Irving B Kravis', 'Robert E Lipsey']"
2275,1987,June,On the Definition and Magnitude of Recent Capital Flight,"['Richard M Levich', 'Robert E Cumby']"
2276,1987,June,Developing the ECU Markets: Perspectives on Financial Innovation,['Richard M Levich']
2277,1987,June,Financial Innovations in International Financial Markets,['Richard M Levich']
2278,1987,June,Delay in Reporting Acquired Immune Deficiency Syndrome (AIDS),['Jeffrey E Harris']
2279,1987,June,The Significance of Tax Law Asymmetries: An Empirical Investigation,"['Alan J Auerbach', 'Rosanne Altshuler']"
2280,1987,June,Effects of the Changing U.S. Age Distribution on Macroeconomic Equations,"['Kathryn M E Dominguez', 'Ray C* Fair']"
2281,1987,June,"Household Migration, Urban Growth, and Industrialization: The United States, 1850-1860",['Richard H Steckel']
2282,1987,June,The Effect of Family Background on Economic Status: A Longitudinal Analysis of Sibling Correlations,"['Deborah Laren', 'Gary Solon', 'Mary Corcoran', 'Roger H Gordon']"
2283,1987,June,Federal Assistance and Local Services in the United States: The Evolution of a New Federalist Fiscal Order,['Robert P Inman']
2284,1987,June,"The Effect of Public Sector Labor laws on Collective Bargaining, Wages, and Employment","['Richard B Freeman', 'Robert G Valletta']"
2285,1987,June,Why Does Money Affect Output? A Survey,['Olivier Jean Blanchard']
2286,1987,June,The Cost of Capital in the U.S. and Japan: A Comparison,"['Alan J Auerbach', 'Albert Ando']"
2287,1987,June,International Policy Coordination: The Case of the Developing Country Debt Crisis,['Jeffrey D Sachs']
2288,1987,June,Intergenerational Altruism and Social Welfare: A Critique of the Dynastic Model,['B Douglas Bernheim']
2289,1987,June,Understanding the Real Estate Provisions of Tax Reform: Motivation and Impact,"['David C Ling', 'James R Follain', 'Patric H Hendershott']"
2290,1987,June,Pricing Mortgages: An Interpretation of the Models and Results,"['Patric H Hendershott', 'Robert Van Order']"
2291,1987,June,The Timing of Retirement: A Comparison of Expectations and Realizations,['B Douglas Bernheim']
2292,1987,June,Federal Deductibility of State and Local Taxes: A Test of Public Choiceby Representative Government,['Lawrence B Lindsey']
2293,1987,June,International Coordination of Trade Policy,['J David Richardson']
2294,1987,June,Private Saving in the United States: 1950-85,"['Joe Peek', 'Patric H Hendershott']"
2295,1987,June,Characteristics of Hostile and Friendly Takeover Targets,"['Andrei Shleifer', 'Randall K Morck', 'Robert W Vishny']"
2296,1987,June,Uncertainty and Liquidity,['Alberto Giovannini']
2297,1987,June,The Efficiency of Investment in the Presence of Aggregate Demand Spillovers,"['Andrei Shleifer', 'Robert W Vishny']"
2298,1987,June,An Analysis of Fiscal Policy Under Operative and Inoperative Bequest Motives,['Andrew B Abel']
2299,1987,June,Are User Fees Regressive? The Welfare Implications of Health Care Financing Proposals in Peru,"['Luis Locay', 'Paul J Gertler', 'Warren C Sanderson']"
2300,1987,June,Monetary Policy Lessons of recent Inflation and Disinflation,['William Poole']
2301,1987,June,Breath Testing and the Demand for Drunk Driving,"['Frank J Chaloupka, IV', 'Henry Saffer']"
2302,1987,June,"Monopolistic Competition, Credibility and the Output Costs of Disinflation Programs: An Analysis of Price Controls",['Sweder van Wijnbergen']
2303,1987,July,Tests of International CAPM with Time-Varying Covariances,"['Anthony P Rodrigues', 'Charles Engel']"
2304,1987,July,Productivity Levels and Productivity Change Under Unionism,['Steven G Allen']
2305,1987,July,Homeownership Rates of Married Couples: An Econometric Investigation,"['David C Ling', 'Donald R Haurin', 'Patric H Hendershott']"
2306,1987,July,Wage Structures and Labor Turnover in the U.S. and in Japan,"['Jacob Mincer', 'Yoshio Higuchi']"
2307,1987,July,U.S. Firms in Latin American Service Industries,"['Magnus Blomstrom', 'Robert E Lipsey']"
2308,1987,July,A Positive Theory of Fiscal Deficits and Government Debt in a Democracy,"['Alberto F Alesina', 'Guido Tabellini']"
2309,1987,July,Political vs. Currency Premia in International Real Interest Differentials: A Study of Forward Rates for 24 Countries,"['Alan T MacArthur', 'Jeffrey A Frankel']"
2310,1987,July,Exchange Rate Policy Reconsidered,['Richard C Marston']
2311,1987,July,Menu Costs and the Neutrality of Money,"['Andrew C Caplin', 'Daniel F Spulber']"
2312,1987,July,Inflation: Theory and Evidence,['Bennett T McCallum']
2313,1987,July,Sectoral and National Aggregate Disturbances to Industrial Output in Seven European Countries,['Alan C Stockman']
2314,1987,July,Income Originating in the State and Local Sector,"['Charles R Hulten', 'Robert M Schwab']"
2315,1987,July,Costly Adjustment and Limited Borrowing: A Welfare Analysis of Policiesto Achieve External Balance,"['Joshua Aizenman', 'Marcelo Selowsky']"
2316,1987,July,"Implicit Contracts, Labor Mobility and Unemployment","['Arthur Hosios', 'Joseph E Stiglitz', 'Richard J Arnott']"
2317,1987,July,No Room for Weak Links in the Chain of Deposit Insurance Reform,['Edward J Kane']
2318,1987,July,Financial Fragility and Economic Performance,"['Ben S Bernanke', 'Mark L Gertler']"
2319,1987,July,Why Have Private Saving Rates in the United States and Canada Diverged?,"['Christopher D Carroll', 'Lawrence H Summers']"
2320,1987,July,Declining Unionization in Construction: The Facts and the Reasons,['Steven G Allen']
2321,1987,July,The Mundell-Flemming Model: A Quarter Century Later,"['Assaf Razin', 'Jacob A Frenkel']"
2322,1987,July,Treasury Bill Futures as Hedges Against Inflation Risk,"['Jayendu Patel', 'Richard J Zeckhauser']"
2323,1987,July,Employee Retirement and a Firm's Pension Plan,"['David A Wise', 'Laurence J Kotlikoff']"
2324,1987,July,"Aging, Moving, and Housing Wealth","['David A Wise', 'Steven F Venti']"
2325,1987,July,The Wealth and Poverty of Widows: Assets Before and After the Husband's Death,"['David A Wise', 'Michael D Hurd']"
2326,1987,July,The Poverty of Widows: Future Prospects,['Michael D Hurd']
2327,1987,July,Sticky Prices as Coordination Failure,"['David H Romer', 'Laurence M Ball']"
2328,1987,July,"Long-Term Care, Wealth, and Health of the Disabled Elderly Living in the Community",['Alan M Garber']
2329,1987,July,The Role of Education: Mobility Increasing or Mobility Impeding?,['Axel H Boersch-Supan']
2330,1987,July,Ricardian Equivalence: An Evaluation of Theory and Evidence,['B Douglas Bernheim']
2331,1987,August,Operative Gift and Bequest Motives,['Andrew B Abel']
2332,1987,August,Concepts and Measures of Federal Deficits and Debt and Their Impact on Economic Activity,['Michael J Boskin']
2333,1987,August,The Right Combination of Demand and Supply Policies: The Case for a Two-Handed Approach,['Willem H Buiter']
2334,1987,August,Sibling and Intergenerational Correlations in Welfare Program Participation,"['Deborah Laren', 'Gary Solon', 'Mary Corcoran', 'Roger H Gordon']"
2335,1987,August,Taxation and Output Growth: Evidence from African Countries,['Jonathan S Skinner']
2336,1987,August,"Risky Income, Life Cycle Consumption, and Precautionary Savings",['Jonathan S Skinner']
2337,1987,August,The Effects of Technological Change on Earnings and Income Inequality inthe United States,"['David E Bloom', 'McKinley L Blackburn']"
2338,1987,August,Household Dissolution and the Choice of Alternative Living Arrangements Among Elderly Americans,['Axel H Boersch-Supan']
2339,1987,August,Sources of Macroeconomic Imbalances in the World Economy: A Simulation Approach,"['Jeffrey D Sachs', 'Nouriel Roubini']"
2340,1987,August,Interest-Only/Principal-Only Mortgage-Backed Strips: A Valuation and Risk Analysis,"['Alan J Marcus', 'Arnold Kling']"
2341,1987,August,The Term Structure of Interest Rates,"['J Huston McCulloch', 'Robert J Shiller']"
2342,1987,August,Breach of Trust in Hostile Takeovers,"['Andrei Shleifer', 'Lawrence H Summers']"
2343,1987,August,Mean Reversion in Stock Prices: Evidence and Implications,"['James M Poterba', 'Lawrence H Summers']"
2344,1987,August,The Worldwide Change in the Behavior of Interest Rates and Prices in 1914,"['David N Weil', 'Jeffrey A Miron', 'N Gregory Mankiw', 'Robert B Barsky']"
2345,1987,August,The ECU - An Imaginary or Embryonic Form of Money: What Can We Learn from History?,"['Anna J Schwartz', 'Michael D Bordo']"
2346,1987,August,A Cost-Effectiveness Analysis of Strategies to Reduce Infant Mortality,"['Hope Corman', 'Michael Grossman', 'Theodore J Joyce']"
2347,1987,August,One Share/One Vote and the Market for Corporate Control,"['Oliver D Hart', 'Sanford J Grossman']"
2348,1987,August,"Exchange Controls, Devaluations and Real Exchange Rates: The Latin American Experience",['Sebastian Edwards']
2349,1987,August,Imputing Corporate Tax Liabilities to Individual Taxpayers,['Martin S Feldstein']
2350,1987,August,A Goodness of Fit Test of Dual Labor Market Theory,"['Kevin Lang', 'William T Dickens']"
2351,1987,August,Arbitrator Behavior in Public Sector Wage Disputes,['David E Bloom']
2352,1987,August,"Government Saving, Capital Formation and Wealth in the United States, 1947-1985","['Alan M Huber', 'Marc S Robinson', 'Michael J Boskin']"
2353,1987,August,The Marginal Excess Burden of Different Capital Tax Instruments,"['Don Fullterton', 'Yolanda K Henderson']"
2354,1987,August,An Overlapping Generations Model of Electoral Competition,"['Alberto F Alesina', 'Stephen E Spear']"
2355,1987,August,"Taxes, Budget Deficits ad Consumer Spending: Some New Evidence","['Douglas W Elmendorf', 'Martin S Feldstein']"
